iter	Passed	Remaining
0	153	76472
1	158	39429
2	163	27097
3	169	21030
4	174	17309
5	179	14797
6	184	12991
7	188	11620
8	193	10574
9	198	9720
10	203	9025
11	207	8454
12	213	7987
13	218	7581
14	222	7200
15	227	6876
16	232	6592
17	236	6329
18	240	6099
19	245	5885
20	249	5690
21	253	5517
22	259	5375
23	263	5222
24	267	5083
25	271	4956
26	276	4843
27	280	4731
28	285	4630
29	293	4590
30	297	4500
31	302	4418
32	306	4341
33	310	4258
34	315	4187
35	321	4147
36	326	4089
37	337	4102
38	342	4050
39	347	3995
40	351	3936
41	356	3885
42	361	3837
43	365	3787
44	369	3740
45	374	3699
46	380	3665
47	384	3622
48	388	3578
49	393	3540
50	397	3501
51	401	3462
52	406	3428
53	410	3391
54	415	3358
55	419	3323
56	423	3290
57	427	3255
58	431	3224
59	435	3196
60	440	3166
61	444	3140
62	448	3113
63	455	3100
64	459	3074
65	463	3047
66	468	3027
67	473	3005
68	477	2983
69	482	2962
70	486	2940
71	490	2916
72	494	2894
73	499	2875
74	503	2853
75	507	2831
76	511	2811
77	515	2790
78	519	2768
79	523	2748
80	528	2733
81	532	2713
82	536	2694
83	539	2673
84	544	2656
85	548	2639
86	552	2621
87	556	2606
88	561	2591
89	565	2574
90	569	2558
91	573	2544
92	578	2529
93	581	2513
94	585	2497
95	590	2485
96	595	2472
97	599	2458
98	603	2445
99	608	2433
100	612	2419
101	616	2406
102	621	2394
103	625	2382
104	630	2370
105	637	2370
106	642	2358
107	647	2349
108	651	2337
109	656	2326
110	660	2313
111	664	2302
112	668	2290
113	673	2279
114	677	2269
115	682	2258
116	687	2249
117	691	2238
118	695	2226
119	699	2215
120	704	2206
121	712	2206
122	719	2204
123	723	2194
124	728	2184
125	732	2174
126	737	2164
127	741	2154
128	745	2143
129	749	2132
130	756	2130
131	760	2121
132	765	2111
133	769	2102
134	773	2092
135	777	2082
136	782	2074
137	787	2065
138	791	2056
139	795	2046
140	800	2037
141	804	2028
142	808	2019
143	814	2013
144	818	2004
145	822	1995
146	827	1986
147	832	1979
148	836	1970
149	842	1966
150	847	1959
151	852	1951
152	856	1943
153	861	1935
154	865	1927
155	870	1918
156	874	1910
157	879	1902
158	883	1894
159	888	1888
160	892	1880
161	897	1871
162	902	1865
163	906	1857
164	910	1849
165	914	1840
166	918	1831
167	922	1823
168	926	1814
169	930	1806
170	935	1799
171	939	1791
172	943	1783
173	947	1775
174	951	1767
175	955	1759
176	959	1751
177	964	1744
178	968	1736
179	972	1728
180	978	1724
181	982	1716
182	986	1709
183	992	1703
184	996	1696
185	1000	1689
186	1004	1681
187	1008	1674
188	1012	1666
189	1017	1659
190	1021	1653
191	1025	1645
192	1029	1638
193	1033	1630
194	1038	1624
195	1044	1619
196	1049	1613
197	1053	1607
198	1058	1601
199	1062	1594
200	1068	1590
201	1073	1583
202	1077	1576
203	1081	1569
204	1086	1563
205	1091	1558
206	1098	1554
207	1107	1554
208	1112	1549
209	1117	1543
210	1122	1537
211	1126	1530
212	1131	1524
213	1135	1517
214	1139	1510
215	1143	1503
216	1148	1497
217	1152	1490
218	1156	1484
219	1161	1478
220	1166	1472
221	1170	1466
222	1175	1460
223	1179	1453
224	1184	1447
225	1188	1441
226	1192	1434
227	1197	1428
228	1203	1424
229	1208	1418
230	1212	1411
231	1217	1406
232	1221	1400
233	1226	1394
234	1232	1390
235	1237	1384
236	1241	1378
237	1246	1372
238	1251	1366
239	1256	1360
240	1261	1355
241	1265	1349
242	1270	1343
243	1274	1337
244	1279	1331
245	1283	1325
246	1288	1319
247	1292	1313
248	1297	1307
249	1301	1301
250	1306	1295
251	1310	1290
252	1315	1283
253	1320	1279
254	1326	1274
255	1331	1268
256	1336	1263
257	1340	1257
258	1345	1251
259	1350	1246
260	1355	1240
261	1359	1235
262	1364	1229
263	1368	1223
264	1372	1217
265	1377	1211
266	1381	1205
267	1386	1200
268	1390	1194
269	1395	1188
270	1399	1182
271	1403	1176
272	1409	1172
273	1415	1167
274	1420	1162
275	1425	1156
276	1429	1150
277	1433	1144
278	1438	1139
279	1442	1133
280	1446	1127
281	1450	1121
282	1455	1115
283	1459	1110
284	1463	1104
285	1468	1098
286	1472	1093
287	1477	1087
288	1481	1081
289	1489	1078
290	1497	1075
291	1502	1069
292	1506	1064
293	1510	1058
294	1515	1052
295	1519	1047
296	1523	1041
297	1528	1036
298	1533	1030
299	1538	1025
300	1542	1019
301	1547	1014
302	1552	1009
303	1556	1003
304	1561	998
305	1566	992
306	1570	987
307	1575	981
308	1579	976
309	1584	971
310	1588	965
311	1593	960
312	1597	954
313	1601	948
314	1606	943
315	1610	938
316	1615	932
317	1619	927
318	1624	921
319	1628	916
320	1632	910
321	1639	906
322	1644	901
323	1648	895
324	1653	890
325	1657	884
326	1663	879
327	1669	875
328	1674	870
329	1680	865
330	1686	861
331	1693	857
332	1698	852
333	1703	846
334	1708	841
335	1712	836
336	1717	830
337	1722	825
338	1728	820
339	1733	815
340	1738	810
341	1744	805
342	1748	800
343	1754	795
344	1760	790
345	1764	785
346	1768	779
347	1772	774
348	1776	768
349	1780	763
350	1784	757
351	1789	752
352	1793	746
353	1797	741
354	1801	736
355	1806	730
356	1810	725
357	1815	720
358	1819	714
359	1823	709
360	1829	704
361	1834	699
362	1838	693
363	1843	688
364	1847	683
365	1851	677
366	1856	672
367	1860	667
368	1864	662
369	1868	656
370	1877	652
371	1884	648
372	1889	643
373	1893	637
374	1897	632
375	1901	627
376	1905	621
377	1909	616
378	1914	611
379	1918	605
380	1923	600
381	1927	595
382	1932	590
383	1937	585
384	1941	579
385	1945	574
386	1950	569
387	1954	564
388	1958	558
389	1963	553
390	1967	548
391	1972	543
392	1976	538
393	1981	533
394	1986	527
395	1990	522
396	1994	517
397	1999	512
